="PPN";"Titre";"Editions";="Issn";"Acces en ligne";"Supplement(s) : ";"Est le supplement de : ";"Publie avec : ";"Suite de : ";"Succede apres scission a : ";"Remplace : ";"Remplace partiellement : ";"Absorbe : ";"Absorbe partiellement : ";"Fusion de : ";"Suite partielle de : ";"Devient : ";"Devient partiellement : ";"Remplace par : ";"Remplace partiellement par : ";"Absorbe par : ";"Absorbe partiellement par : ";"ScindeEn";"Fusionne avec";"Redevient : ";"Autre edition sur le meme support : ";"Autre edition sur un autre support : ";"Traduit sous le titre : ";"Traduit de : ";"Reproduction de : ";"Reproduit comme : ";"Titre cle : ";"Titre(s) abrege(s) : ";"Titre parallele : ";"Titre de couv. : ";"PublieEn";"Periodicite";="Dewey : ";"Source(s) de catalogage : ";"Etat de collection";"Lacunes";"Cote";"PCP";"Note sur l exemplaire"
="039852520";"Ligeia : dossiers sur l'art / [dir. publ. Giovanni Lista]";"Paris : Ligeia, 1988-";="0989-6023";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ligeia (Paris. En ligne), 2606-6165";"";"";"";"";"Ligeia(Paris)";"Ligeia(Paris)";"";"";"1988- 9999, publie en francais, en France";"Trimestriel";="700";"BN * ISSN";"no. 25 (1998)-....";"";"";"";""
="040230007";"Mouvement : revue trimestrielle du spectacle vivant et des arts visuels";"Paris : Ed. du Mouvement, 1993-1997; 1998-....Paris : Ed. du Mouvement, 1993-Paris : Ed. du Mouvement, 1993-Paris : Les Editions Secondes, 2015-";="1252-6967";"";"Slam. ";"Cripure (Paris), 1242-0778. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mouvement(Paris. 1993)";"";"";"Mouvement, l'interdisciplinaire des arts vivantsLa revue indisciplineeMouvement artistes, creations, esthetique et politiqueMouvement, magazine culturel indisciplinaire";"1993- 9999, publie en francais, en France";"Bimestriel";="700";"Abes * BNF * ISSN France";"no. 2 (1998) ; no. 7 (2000) - no. 19  (2002) ; no. 22 (2003)-....";"";"";"";""
="039924351";"Ninety";"Paris : Eighty magazine, 1990-2000";="1155-1240";"";"";"";"";"Eighty (Paris), 0294-1880";"";"";"";"";"";"";"";"Twenty (Paris), 1631-7904";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ninety(Paris)";"Ninety(Paris)";"";"";"1990- 2000, publie en francais, en France";"Bimestriel";="730 * 705 * 750 * 709.04";"Abes * FR-751131015 * ISSN France";"no. 2 (1990) - no. 34  (1999) ; no. 36 (2000)";"";"";"";""
="039035379";"Œil : revue d'art mensuelle";"Paris : L'Oeil, 1955-Lausanne : Nouvelle SedoParis : SerpaParis : Artclair editionsParis : Artclair editions, [20..]-";="0029-862X";"";"L'Oeil. Hors-serie (Paris), 1289-5164. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LeJournaldesArts.fr, 2492-5845. Artclair.com, 2116-6382. ";"";"";"";"";"";"L'Oeil(Paris)";"Œil(Paris)";"";"";"1955- 9999, publie en francais, en France";"Mensuel";="700 * 705";" *  * FR-751131015 * ISSN France";"no. 1 (1955) - no. 148  (1967) ; no. 188 (1970) - no. 189  (1970) ; no. 199 (1971) - no. 202  (1971) ; no. 212 (1972) - no. 229  (1974) ; no. 231 (1974) - no. 310  (1981) ; no. 312 (1981) - no. 353  (1984) ; no. 359 (1985) - no. 364  (1985) ; no. 374 (1986) ; no. 378 (1987) - no. 382  (1987) ; no. 386 (1987) - no. 393  (1988) ; no. 416 (1990) ; no. 423 (1990) - no. 425  (1990) ; no. 434 (1991) ; no. 440 (1992) ; no. 444 (1992) ; no. 457 (1993) ; no. 459 (1994) ; no. 470 (1995) - no. 483  (1996) ; no. 485 (1997) - no. 494  (1998) ; no. 496 (1998) - no. 542  (2002) ; no. 550 (2003)-....";"";"";"";""
="045062463";"Oeil. Hors-serie";"Paris : SERPA, [199.]-2011";="1289-5164";"";"";"L'Oeil (Paris), 0029-862X. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"L'Oeil. Hors-serie(Paris)";"";"";"";"199 - 2011, publie en francais, en France";"Sans periodicite";="705 * 700";"Abes * ISSN";"(1999) ; (2000) ; (2001)";"";"";"";""
="038682362";"Omnibus : gazette trimestrielle sur l'art contemporain";"Paris : Association Avance artistique, 1991-[199.]";="1166-1852";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Omnibus(Paris. 1991)";"";"";"";"1991- 20  , publie en francais, en France";"Trimestriel";="700 * 709.04";"Abes * ISSN";"no. 2 (1992) - no. 11  (1995) ; no. 13 (1995) - no. 14  (1995) ; no. 16 (1996) - no. 18  (1996) ; no. 21 (1997) - no. 32  (2000)";"";"";"";""
="03941261X";"Parachute";"Montreal : Artdata, 1975-2007";="0318-7020";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Parachute";"Parachute";"";"";"1975- 9999, publie en plusieurs langues, au Canada";"Trimestriel";="709.714";"Abes * ISSN";"no. 4 (1976) ; no. 23 (1981) - no. 24  (1981) ; no. 27 (1982) ; no. 30 (1983) - no. 38  (1985) ; no. 41 (1986) ; no. 45 (1987) - no. 53  (1989) ; no. 61 (1991) - no. 62  (1991) ; no. 65 (1992) ; no. 71 (1993) - no. 76  (1994) ; no. 78 (1995) ; no. 80 (1995)-....";"";"";"";""
="039281337";"Parkett";"Zurich : Parkett-Verlag, 1984-2017";="0256-0917";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Parkett (Internet), 2571-5550";"";"";"";"";"Parkett";"Parkett";"";"The Parkett series with contemporary artistsDie Parkett-Reihe mit gegenwartskunstlern";"1984- 2017, publie en anglais, en Suisse";"Trois fois par an";="";"Abes * ISSN";"no. 1 (1984) ; no. 3 (1984) - no. 25  (1990) ; no. 28 (1991) ; no. 32 (1992) - no. 41  (1994) ; no. 43 (1995) - no. 44  (1995) ; no. 48 (1996) ; no. 50 (1997)-....";"";"";"";""
="045093288";"Parpaings : architecture art > paysage";"Paris : J.-M. Place, 1999-2002";="1294-811X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Parpaings(Paris)";"Parpaings(Paris)";"";"";"1999- 2002, publie en francais, en France";"Mensuel";="709.04 * 720";"Abes * ISSN";"no. 13 (2000) - no. 24  (2001) ; no. 26 (2001) - no. 34  (2002)";"";"";"";""
="039730263";"Part de l'œil : revue de pensee des arts plastiques";"Bruxelles : La part de l'œil, 1985-";="0773-9532";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"La Part de l'œil";"Part œil";"";"";"1985- 9999, publie en francais, en Belgique";"Annuel";="700";"Abes * ISSN";"no. 2 (1986)-....";"";"";"";""
="040546802";"Petit Leonard : le magazine d'initiation a l'art / directrice de la publication Jeanne Faton-Boyance";"Dijon : Ed. Faton, 1997-Dijon : Ed. Faton, [1997]-";="1280-9063";"";"Les albums du Petit Leonard, 2827-2676. Le Petit Leonard. Hors-serie, 2119-2812. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Le Petit Leonard(Dijon)";"";"";"";"1997- 9999, publie en francais, en France";"Mensuel";="704.083 * 705";"FR-751131015 * ISSN France";"no. 39 (jul-2000)-....";"";"";"";""
="040301346";"Poiesis";"Toulouse : AERA, 1994-2003";="1257-3825";"";"";"";"Les Cahiers critiques de Poiesis, 1772-5925. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poiesis(Toulouse)";"Poiesis(Toulouse)";"";"";"1994- 2004, publie en francais, en France";"Trimestriel";="720.105 * 700.105 * 111.85 * 306.409 4486";"ISSN";"no. 2 (1995)-....";"";"";"";""
="040528456";"Pratiques : reflexions sur l'art";"Rennes : Ecole regionale des beaux-arts de Rennes, 1996-2013";="1278-4370";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Pratiques(Rennes)";"Prat.(Rennes)";"";"";"1996- 2013, publie en francais, en France";"Semestriel";="700 * 707";"Abes * ISSN";"no. 1 (1996)-....";"";"";"";""
="03997717X";"Publics et musees";"Lyon : Presses universitaires de Lyon, 1992-[200.]";="1164-5385";"";"";"";"";"";"";"";"";"";"";"";"";"Culture & musees, 1766-2923";"";"";"";"";"";"";"";"";"";"";"";"";"";"Publics et musees (Reproduction numerique), 2267-3393";"Publics et musees";"Publics mus.";"";"";"1992- 200 , publie en francais, en France";"Semestriel";="705 * 709.440 904 * 069";"Abes * ISSN";"no. 6 (1994) - no. 8  (1995) ; no. 10 (1996) - no. 14  (1998) ; (2000)";"";"";"";""
="045090874";"Purple";"Paris : Association Belle haleine, 1998-2003";="1294-4734";"";"";"";"";"";"";"";"";"";"";"Purple sexe, 1287-5848. Purple fiction, 1274-235X. Purple fashion, 1274-2368. Purple prose, 1244-6874. ";"";"";"";"";"";"";"";"Purple journal, 1766-8840. Purple fashion (2004), 1766-8832. ";"";"";"";"";"";"";"";"";"Purple(Paris)";"";"";"";"1998- 2003, publie en plusieurs langues, en France";"Semestriel";="700 * 746.92";"ISSN";"no. 1 (1998) - no. 3  (1999) ; no. 6 (2000) - (2003)";"";"";"";""
="040496929";"Purple fashion";"Paris : Association Belle haleine, 1995-1998";="1274-2368";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Purple sexe, 1287-5848. Purple fiction, 1274-235X. Purple prose, 1244-6874. Pour donner :	Purple (Paris), 1294-4734. ";"";"";"";"";"";"";"";"Purple fashion";"";"";"";"1995- 1998, publie en francais, en France";"Inconnue";="746.92";"Abes * ISSN";"no. 4 (1998)";"";"";"";""
="078580080";"Purple fashion";"Paris : Purple Institute, 2004-";="1766-8832";"";"";"";"";"";"";"";"";"";"";"";"Purple (Paris), 1294-4734";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Purple fashion(2004)";"";"";"";"2004- 9999, publie en plusieurs langues, en France";"Semestriel";="700 * 746.92";"Abes * ISSN";"no. 1 (2004)-....";"";"";"";""
="040496910";"Purple fiction";"Paris : Association Belle haleine, 1995-1998";="1274-235X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Purple fashion, 1274-2368. Purple prose, 1244-6874. Purple sexe, 1287-5848. Pour donner :	Purple (Paris), 1294-4734. ";"";"";"";"";"";"";"";"Purple fiction";"";"";"";"1995- 1998, publie en plusieurs langues, en France";"Annuel";="809.300 5 * 805";"Abes * ISSN";"no. 3 (1997) - no. 4  (1998)";"";"";"";""
="078020948";"Purple journal / [Purple institute] ; [dir. publ. Elein Fleiss]";"Paris : Purple Institute, 2004-2008";="1766-8840";"";"";"";"";"";"Purple (Paris), 1294-4734";"";"";"";"";"";"";"Les Cahiers Purple (Ed. francaise), 2102-6645";"";"";"";"";"";"";"";"";"Purple journal (English ed.), 1770-0418. ";"";"";"";"";"";"Purple journal";"";"";"";"2004- 2008, publie en francais, en France";"Trimestriel";="700 * 746.92";"Abes * ISSN";"no. 0 (2004)-....";"";"";"";""
="040111970";"Purple prose";"Paris : Association Belle Haleine, 1992-1998";="1244-6874";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Purple fashion, 1274-2368. Purple fiction, 1274-235X. Purple sexe, 1287-5848. Pour donner :	Purple (Paris), 1294-4734. ";"";"";"";"";"";"";"";"Purple prose";"";"";"";"1992- 1998, publie en plusieurs langues, en France";"Inconnue";="700 * 746.92 * 301 * 805";"ISSN";"no. 1 (1992) - no. 5  (1994) ; no. 8 (1995) - no. 13  (1998)";"";"";"";""
="045055610";"Purple sexe";"Paris : Association Belle haleine, 1998-1998";="1287-5848";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Purple fiction, 1274-235X. Purple fashion, 1274-2368. Purple prose, 1244-6874. Pour donner :	Purple (Paris), 1294-4734. ";"";"";"";"";"";"";"";"Purple sexe";"";"";"";"1998- 1998, publie en anglais, en France";"Inconnue";="700 * 306.77 * 770";"Abes * ISSN";"no. 3 (1998) - no. 7  (2000)";"";"";"";""
="013730878";"Revue d'esthetique / [Societe francaise d'esthetique]";"Paris : Presses universitaires de France, 1948-2004Paris : Presses universitaires de France, 1948-1957Paris : J. Vrin, 1958-1964Paris : Ed. S.P.D.G., 1965-1967Paris  : C. Klincksieck, 1968-1973Paris : C. Bourgois, 1974Paris : Union generale d'editions, 1974-1980Toulouse : Privat, 1981-1988Paris : J.-M. Place, 1989-2004";="0035-2292";"";"";"";"";"";"";"";"";"";"";"";"";"Nouvelle revue d'esthetique, 1969-2269";"";"";"";"";"";"";"";"";"";"Revue d'esthetique (Reproduction numerique), 2419-6614";"";"";"";"";"Revue d'esthetique";"Rev. esthet.";"";"";"1948- 2004, publie en francais, en France";"Semestriel";="700";"Abes * SF * ISSN";"no. 16 (1989) - no. 17  (1990) ; no. 21 (1992) ; no. 23 (1993) - no. 25  (1994) ; no. 27 (1995) ; no. 33 (1998)-....";"";"";"";""
="03922824X";"Revue du Louvre et des musees de France";"Paris : Revue du Louvre et des musees de France, 1961-2007";="0035-2608";"";"Bulletin du Laboratoire du Musee du Louvre, 0553-2566. Annales - Laboratoire de recherche des musees de France, 0373-8027. ";"";"";"La Revue des arts (Paris. 1951), 0482-7872";"";"";"";"";"";"";"";"La Revue des musees de France, 1962-4271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"La Revue du Louvre et des musees de France";"Rev. Louvre mus. Fr.";"";"";"1961- 2007, publie en francais, en France";"Autre";="730 * 705";"Abes * ISSN";"no. 6 (1966) ; no. 3 (1967) ; no. 6 (1967) ; no. 1 (1968) ; no. 6 (1968) ; no. 1 (1971) ; no. 3 (1971) ; no. 1 (1973) - no. 2  (1973) ; no. 1 (1976) ; no. 2 (1978) ; no. 3 (1980) - no. 2  (1981) ; no. 4 (1981) ; no. 1 (1982) - no. 4  (1983) ; no. 1 (1984) - no. 6  (1987) ; no. 2 (1988) - no. 3  (1988) ; no. 1 (1989) ; no. 3 (1989) ; no. 5 (1989) - no. 6  (1996) ; no. 1 (1997) ; no. 3 (1997) ; no. 1 (1998) - no. 5  (1999)";"";"";"";""
="039932397";"Revue Noire : African contemporary art / fondateurs Jean-Loup Pivin, Simon Njami, Pascal Martin Saint Leon, Bruno Tilliette";"Paris : Editions Bleu outremer, 1991-2002";="1157-4127";"";"Aquarela do Brasil. Mama Africa. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Revue noire(Paris)";"Rev. noire(Paris)";"";"";"1991- 2002, publie en plusieurs langues, en France";"Trimestriel";="700.899 6 * 709.04 * 709.609 04 * 909.049 6";"ISSN";"vol. 1 no. 1 (1991) - vol. 1  no. 5  (1992) ; no. 7 (1993) ; no. 16 (1995) ; no. 25 (1997) ; no. 28 (1998) - no. 34  (1999)";"";"";"";""
="05882863X";"Rezo international : echanges, cultures et reseaux du monde entier / Association francaise d'action artistique";"Paris : AFAA, 2000-2006";="1629-8284";"";"";"";"";"";"";"";"";"";"";"";"";"Culturesfrance monde, 1955-5296";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rezo international";"";"";"";"2000- 2006, publie en francais, en France";"Trimestriel";="700 * 709.04";"Abes * ISSN";"no. 0 (1999) ; no. 2 (2000) - no. 10  (2003)";"";"";"";""
="078948010";"Semaine : revue hebdomadaire pour l'art contemporain";"Arles : Analogues, 2004-";="1766-6465";"";"";"";"Semaines, 1953-5201. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Semaines, 1953-5201. ";"";"";"";"";"";"Semaine(Arles)";"";"";"";"2004- 9999, publie en francais, en France";"Hebdomadaire";="700.5";"Abes * ISSN";"no. 1 (mar-2004)-....";"";"";"";""
="039741532";"Sociologie de l'art";"Bruxelles : Ed. La Lettre volee, 1988-Bruxelles : Comite de recherche AISLF ""Sociologie de l'art"", 1989-1990Bruxelles : Comite de recherche en sociologie de l'art de l'AISLF, 1991Bruxelles : Ed. La Lettre volee, 1992-2000Paris : L'Harmattan, 2002-";="0779-1674";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Sociologie de l'art, 2264-5209";"";"";"";"";"Sociologie de l'art(Bruxelles)";"Sociol. art(Brux.)";"";"";"1988- 9999, publie en francais, en France";"Annuel";="709.04 * 306.47 * 700";"Abes * BNF * ISSN France";"no. 9 (1996) ; no. 11 (1998) - no. 12  (1999)";"";"";"";""
="039960498";"Technikart : news, culture & societe";"Paris : Art-venir, 1991-";="1162-8731";"";"Grand seigneur, 2265-6456. Technikart. SuperCannes, 2264-4792. Technikart. Fotofever, 2264-4776. Technikart. Hors-serie Art, 2264-475X. Technikart Japon, 2264-4547. Technikart China, 2264-444X. Technikart US, 2326-3563. Technikart mademoiselle, 1964-9401. Technikart. Hors-serie (Paris), 1292-0770. ";"";"New London (Paris), 1967-7103. La Revue (Ideo Clean), 1967-5763. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Technik'art(Paris)";"";"";"";"1991- 9999, publie en francais, en France";"Bimestriel";="700";"Abes * ISSN";"no. 10 (1997) - no. 11  (1997) ; no. 18 (1997) ; no. 44 (2000)-....";"";"";"";""
="045079072";"Technikart. Hors-serie";"Paris : Passage du Cheval blanc, 2 rue de la Roquette, 75011, 1999-";="1292-0770";"";"";"Technik'art (Paris), 1162-8731. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Technikart. Hors-serie(Paris)";"";"";"";"1999-     , publie en francais, en France";"Semestriel";="700";"Abes * ISSN";"no. 1 (1999)";"";"";"";""
="03789028X";"Traverses : revue trimestrielle / [Centre de creation industrielle]";"Paris : Editions de Minuit, 1975-1994";="0336-9730";"";"";"";"Collection Tra(ns)verses (Lormont), 2274-1194. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traverses(Paris)";"Traverses(Paris)";"";"";"1975- 1994, publie en francais, en France";"Trimestriel";="700 * 800";"Abes * ISSN";"no. 1 (1975) - no. 3  (1976) ; no. 38 (1986) - no. 39  (1986) ; no. 1 (1992) - no. 8  (1993)";"";"";"";""
="060669241";"Trouble";"Paris : Trouble, 2002-2010";="1632-0905";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Trouble(Paris)";"Trouble(Paris)";"";"";"2002- 2010, publie en francais, en France";"Semestriel";="700 * 805";"Abes * ISSN";"no. 1 (2002)-....";"";"";"";""
="040060640";"Turbulences video : culture contemporaine, art, video et nouvelles technologies";"Clermont-Ferrand : Videoformes, 1991-2007";="1241-5596";"";"";"";"";"";"";"";"";"";"";"";"";"Turbulences video, 2259-8022";"";"";"";"";"";"";"";"";"";"Turbulences video, 2259-8022";"";"";"";"";"Turbulences video(Clermont-Ferrand)";"";"";"";"1991- 2007, publie en francais, en France";"Inconnue";="621.388 * 700 * 778.59 * 791.430 944591 * 702.810 5";"Abes * FR-751131015 * ISSN France";"no. 27 (2000) - no. 28  (2000) ; no. 30 (2001)-....";"";"";"";""
="058921842";"Twenty : art du nouveau millenaire";"Paris : Flohic, 2001-2004";="1631-7904";"";"";"";"";"Ninety (Paris), 1155-1240";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Twenty(Paris)";"";"";"";"2001- 9999, publie en francais, en France";"Trimestriel";="709.04 * 730";"ISSN";"no. 1 (2001)";"";"";"";""
="040473392";"Verso arts et lettres";"Paris : Verso, 1996-2009";="1270-0614";"";"";"";"";"";"";"";"";"";"";"";"";"Verso, 2427-7533";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Verso arts et lettres";"";"";"";"1996- 2009, publie en francais, en France";"Trimestriel";="700 * 800";"Abes * ISSN";"no. 6 (1997) ; no. 12 (1998) ; no. 19 (2000) - (2009)";"";"";"";""
